// Initial random seed:
1806955771273

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0.8, 0.2));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4663 881 118 1
4664 896 103 1
4665 874 119 7
4666 874 121 5
4667 870 123 7
4668 850 144 6
4669 856 140 4
4670 847 145 8
4671 832 164 4
4672 852 140 8
4673 841 155 4
4674 852 136 12
4675 855 141 4
4676 847 143 10
4677 842 151 7
4678 852 146 2
4679 870 130 0
4680 868 124 8
4681 866 129 5
4682 869 126 5
4683 872 122 6
4684 875 121 4
4685 885 111 4
4686 897 98 5
4687 892 107 1
4688 889 110 1
4689 902 92 6
4690 893 103 4
4691 902 96 2
4692 901 99 0
4693 895 104 1
4694 913 84 3
4695 908 90 2
4696 922 76 2
4697 943 53 4
4698 946 53 1
4699 951 49 0
4700 948 51 1
4701 940 60 0
4702 939 61 0
4703 942 56 2
4704 936 61 3
4705 939 60 1
4706 948 51 1
4707 957 41 2
4708 951 49 0
4709 947 52 1
4710 953 47 0
4711 962 38 0
4712 968 32 0
4713 960 40 0
4714 950 50 0
4715 955 44 1
4716 958 41 1
4717 968 32 0
4718 971 29 0
4719 974 26 0
4720 966 33 1
4721 959 39 2
4722 947 53 0
4723 939 60 1
4724 945 54 1
4725 952 47 1
4726 949 51 0
4727 954 46 0
4728 948 49 3
4729 950 49 1
4730 939 61 0
4731 939 59 2
4732 941 55 4
4733 934 64 2
4734 949 48 3
4735 944 55 1
4736 958 41 1
4737 955 44 1
4738 942 58 0
4739 945 55 0
4740 949 50 1
4741 963 35 2
4742 962 38 0
4743 967 32 1
4744 963 37 0
4745 960 40 0
4746 959 41 0
4747 962 38 0
4748 975 25 0
4749 971 29 0
4750 979 21 0
4751 979 21 0
4752 983 17 0
4753 989 11 0
4754 993 7 0
4755 995 5 0
4756 997 3 0
4757 996 4 0
4758 998 2 0
4759 998 2 0
4760 999 1 0
4761 998 2 0
4762 999 1 0
4763 1000 0 0
