// Initial random seed:
1683965715577

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(1, 0));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4847 519 384 97
4848 523 407 70
4849 522 399 79
4850 531 392 77
4851 547 378 75
4852 525 403 72
4853 528 409 63
4854 522 403 75
4855 526 396 78
4856 543 382 75
4857 540 380 80
4858 513 424 63
4859 550 361 89
4860 543 388 69
4861 577 356 67
4862 549 382 69
4863 552 379 69
4864 596 340 64
4865 602 336 62
4866 597 354 49
4867 602 348 50
4868 616 342 42
4869 618 334 48
4870 629 333 38
4871 621 340 39
4872 628 328 44
4873 629 330 41
4874 638 329 33
4875 650 305 45
4876 633 324 43
4877 624 338 38
4878 618 333 49
4879 629 330 41
4880 635 324 41
4881 620 338 42
4882 637 324 39
4883 670 293 37
4884 651 317 32
4885 659 300 41
4886 643 322 35
4887 657 309 34
4888 648 309 43
4889 655 305 40
4890 651 308 41
4891 642 311 47
4892 626 326 48
4893 623 338 39
4894 641 325 34
4895 647 310 43
4896 618 342 40
4897 626 340 34
4898 669 284 47
4899 660 301 39
4900 640 337 23
4901 655 304 41
4902 655 299 46
4903 647 314 39
4904 633 329 38
4905 625 331 44
4906 636 328 36
4907 645 312 43
4908 623 337 40
4909 625 327 48
4910 618 344 38
4911 641 316 43
4912 618 331 51
4913 614 344 42
4914 610 355 35
4915 618 334 48
4916 611 335 54
4917 613 347 40
4918 612 337 51
4919 619 340 41
4920 634 332 34
4921 633 334 33
4922 650 314 36
4923 653 310 37
4924 636 332 32
4925 652 315 33
4926 664 307 29
4927 661 305 34
4928 646 317 37
4929 653 317 30
4930 646 318 36
4931 657 307 36
4932 657 304 39
4933 649 308 43
4934 663 303 34
4935 639 327 34
4936 643 322 35
4937 670 300 30
4938 659 297 44
4939 666 298 36
4940 702 271 27
4941 718 253 29
4942 712 259 29
4943 702 274 24
4944 703 275 22
4945 710 264 26
4946 707 275 18
4947 712 263 25
4948 718 258 24
4949 695 283 22
4950 701 272 27
4951 707 270 23
4952 693 286 21
4953 689 286 25
4954 682 286 32
4955 663 298 39
4956 668 300 32
4957 700 274 26
4958 695 280 25
4959 690 289 21
4960 688 281 31
4961 719 257 24
4962 747 228 25
4963 732 241 27
4964 721 245 34
4965 682 296 22
4966 698 269 33
4967 699 267 34
4968 690 277 33
4969 685 291 24
4970 697 276 27
4971 700 277 23
4972 684 286 30
4973 681 287 32
4974 660 306 34
4975 642 313 45
4976 633 326 41
4977 621 338 41
4978 624 333 43
4979 614 339 47
4980 621 333 46
4981 633 317 50
4982 633 323 44
4983 630 327 43
4984 631 326 43
4985 649 314 37
4986 655 309 36
4987 674 282 44
4988 675 286 39
4989 648 315 37
4990 672 302 26
4991 693 271 36
4992 664 304 32
4993 679 288 33
4994 677 297 26
4995 685 280 35
4996 684 279 37
4997 688 272 40
4998 676 290 34
4999 667 308 25
5000 703 269 28
5001 696 275 29
5002 686 284 30
5003 696 283 21
5004 678 287 35
5005 655 306 39
5006 629 336 35
5007 653 301 46
5008 633 323 44
5009 610 352 38
5010 605 337 58
5011 600 356 44
5012 584 374 42
5013 607 336 57
5014 585 361 54
5015 595 347 58
5016 617 337 46
5017 626 325 49
5018 619 338 43
5019 606 334 60
5020 582 364 54
5021 578 360 62
5022 584 369 47
5023 596 358 46
5024 619 332 49
5025 603 352 45
5026 579 372 49
5027 583 377 40
5028 621 329 50
5029 608 337 55
5030 605 334 61
5031 627 323 50
5032 603 350 47
5033 587 356 57
5034 567 376 57
5035 567 372 61
5036 556 377 67
5037 573 368 59
5038 550 397 53
5039 547 393 60
5040 525 404 71
5041 530 409 61
5042 540 380 80
5043 543 372 85
5044 559 374 67
5045 544 382 74
5046 564 375 61
5047 571 374 55
5048 569 368 63
5049 588 340 72
5050 577 372 51
5051 559 375 66
5052 558 376 66
5053 542 379 79
5054 528 406 66
5055 521 402 77
5056 518 404 78
5057 511 405 84
5058 497 412 91
5059 488 415 97
5060 482 417 101
5061 484 436 80
5062 522 402 76
5063 547 367 86
5064 540 396 64
5065 549 388 63
5066 562 376 62
5067 567 372 61
5068 559 390 51
5069 569 382 49
5070 581 373 46
5071 586 365 49
5072 593 351 56
5073 593 355 52
5074 586 347 67
5075 596 339 65
5076 590 355 55
5077 598 352 50
5078 623 324 53
5079 615 338 47
5080 597 361 42
5081 585 362 53
5082 615 341 44
5083 625 346 29
5084 644 313 43
5085 612 340 48
5086 601 337 62
5087 608 338 54
5088 602 361 37
5089 618 333 49
5090 629 334 37
5091 620 335 45
5092 611 345 44
5093 598 353 49
5094 586 370 44
5095 587 365 48
5096 589 363 48
5097 571 379 50
5098 604 348 48
5099 610 351 39
5100 610 345 45
5101 622 345 33
5102 618 341 41
5103 621 337 42
5104 617 343 40
5105 638 318 44
5106 646 312 42
5107 665 307 28
5108 659 300 41
5109 624 345 31
5110 650 315 35
5111 645 317 38
5112 642 326 32
5113 655 310 35
5114 638 324 38
5115 634 329 37
5116 653 315 32
5117 643 330 27
5118 627 344 29
5119 616 344 40
5120 654 311 35
5121 661 301 38
5122 655 314 31
5123 642 326 32
5124 684 284 32
5125 687 279 34
5126 675 290 35
5127 670 289 41
5128 649 322 29
5129 654 303 43
5130 666 301 33
5131 676 289 35
5132 646 314 40
5133 644 316 40
5134 636 329 35
5135 642 320 38
5136 640 322 38
5137 624 331 45
5138 600 351 49
5139 592 358 50
5140 581 362 57
5141 573 373 54
5142 587 351 62
5143 558 377 65
5144 540 389 71
5145 547 384 69
5146 543 389 68
5147 533 387 80
5148 526 390 84
5149 527 388 85
5150 514 409 77
5151 504 420 76
5152 499 428 73
5153 502 416 82
5154 507 423 70
5155 521 410 69
5156 530 396 74
5157 535 394 71
5158 544 375 81
5159 555 369 76
5160 570 366 64
5161 532 407 61
5162 523 393 84
5163 526 398 76
5164 538 407 55
5165 543 392 65
5166 549 381 70
5167 547 376 77
5168 539 393 68
5169 529 394 77
5170 534 399 67
5171 529 397 74
5172 520 411 69
5173 530 402 68
5174 555 364 81
5175 564 374 62
5176 555 388 57
5177 545 396 59
5178 561 381 58
5179 560 365 75
5180 562 386 52
5181 587 351 62
5182 588 356 56
5183 574 376 50
5184 616 335 49
5185 597 341 62
5186 599 360 41
5187 596 357 47
5188 614 337 49
5189 613 345 42
5190 615 335 50
5191 613 341 46
5192 627 335 38
5193 641 319 40
5194 662 309 29
5195 665 289 46
5196 653 306 41
5197 610 345 45
5198 612 350 38
5199 624 330 46
5200 623 339 38
5201 635 322 43
5202 645 311 44
5203 649 311 40
5204 656 300 44
5205 652 301 47
5206 649 306 45
5207 654 306 40
5208 659 314 27
5209 664 302 34
5210 638 321 41
5211 643 327 30
5212 650 317 33
5213 676 284 40
5214 671 299 30
5215 671 287 42
5216 665 303 32
5217 654 311 35
5218 650 302 48
5219 622 332 46
5220 597 355 48
5221 580 351 69
5222 584 369 47
5223 563 377 60
5224 565 366 69
5225 542 405 53
5226 561 371 68
5227 564 375 61
5228 552 395 53
5229 552 399 49
5230 548 379 73
5231 548 384 68
5232 586 356 58
5233 587 354 59
5234 586 357 57
5235 561 383 56
5236 561 377 62
5237 544 392 64
5238 551 386 63
5239 562 379 59
5240 582 361 57
5241 541 399 60
5242 542 393 65
5243 539 391 70
5244 547 380 73
5245 554 375 71
5246 553 374 73
5247 550 384 66
5248 553 388 59
5249 550 403 47
5250 583 361 56
5251 606 337 57
5252 629 321 50
5253 632 322 46
5254 628 324 48
5255 635 319 46
5256 630 338 32
5257 628 319 53
5258 633 323 44
5259 615 341 44
5260 622 342 36
5261 605 351 44
5262 584 362 54
5263 576 364 60
5264 579 358 63
5265 598 358 44
5266 592 349 59
5267 602 336 62
5268 577 362 61
5269 582 345 73
5270 578 365 57
5271 571 369 60
5272 579 365 56
5273 554 395 51
5274 558 366 76
5275 558 377 65
5276 559 376 65
5277 538 395 67
5278 535 395 70
5279 551 376 73
5280 522 404 74
5281 548 366 86
5282 532 401 67
5283 567 361 72
5284 580 362 58
5285 568 368 64
5286 563 374 63
5287 571 355 74
5288 566 376 58
5289 555 384 61
5290 531 403 66
5291 510 421 69
5292 496 416 88
5293 498 413 89
5294 477 435 88
5295 490 422 88
5296 475 447 78
5297 477 439 84
5298 516 409 75
5299 492 412 96
5300 505 414 81
5301 514 404 82
5302 531 405 64
5303 554 379 67
5304 548 406 46
5305 577 363 60
5306 581 368 51
5307 601 344 55
5308 613 336 51
5309 590 358 52
5310 604 351 45
5311 596 360 44
5312 606 340 54
5313 639 322 39
5314 646 316 38
5315 655 302 43
5316 663 298 39
5317 652 293 55
5318 610 343 47
5319 634 327 39
5320 628 326 46
5321 634 324 42
5322 636 322 42
5323 631 324 45
5324 616 329 55
5325 588 363 49
5326 570 374 56
5327 587 350 63
5328 579 364 57
5329 568 372 60
5330 552 381 67
5331 552 389 59
5332 576 361 63
5333 550 385 65
5334 577 359 64
5335 560 379 61
5336 580 370 50
5337 596 344 60
5338 583 361 56
5339 591 352 57
5340 624 318 58
5341 619 338 43
5342 613 329 58
5343 620 328 52
5344 605 345 50
5345 614 345 41
5346 612 342 46
5347 613 350 37
5348 603 340 57
5349 596 361 43
5350 606 340 54
5351 588 354 58
5352 575 353 72
5353 586 343 71
5354 571 370 59
5355 560 381 59
5356 543 386 71
5357 540 386 74
5358 546 386 68
5359 539 392 69
5360 537 393 70
5361 537 387 76
5362 538 394 68
5363 554 383 63
5364 547 388 65
5365 562 374 64
5366 568 380 52
5367 538 392 70
5368 554 376 70
5369 536 397 67
5370 544 399 57
5371 533 393 74
5372 553 374 73
5373 555 374 71
5374 559 366 75
5375 546 383 71
5376 521 392 87
5377 496 419 85
5378 481 420 99
5379 443 463 94
5380 425 450 125
5381 398 472 130
5382 410 450 140
5383 383 482 135
5384 385 487 128
5385 371 492 137
5386 421 446 133
5387 400 477 123
5388 400 466 134
5389 419 465 116
5390 430 451 119
5391 418 463 119
5392 392 483 125
5393 414 466 120
5394 431 451 118
5395 446 444 110
5396 451 432 117
5397 474 427 99
5398 463 452 85
5399 446 453 101
5400 449 448 103
5401 433 456 111
5402 430 470 100
5403 434 462 104
5404 452 440 108
5405 456 443 101
5406 485 421 94
5407 484 438 78
5408 455 465 80
5409 469 419 112
5410 462 424 114
5411 467 443 90
5412 463 442 95
5413 469 434 97
5414 477 418 105
5415 484 418 98
5416 490 430 80
5417 492 422 86
5418 481 430 89
